,Group name,Fisheries,Total
1,Large phytoplankton,0.00,0
2,Small phytoplankton,0.00,0
3,Microzooplankton,0.00,0
4,Mesozooplakton,0.00,0
5,Macrozooplankton,0.00,0
6,Small jellyfish,0.00,0
7,Large jellyfish,0.00,0
8,Macrobenthos,0.00,0
9,Forage fish,28.13,28.13
10,Mesopelagics,0.00,0
11,Cephalopods,0.13,0.13
12,Pelagic planktivorous fish,1.52,1.52
13,Pelagic piscivorous fish,2.72,2.72
14,Demersal piscivorous fish,1.06,1.06
15,Demersal planktivorous fish,0.02,0.02
16,Demersal benthivorous fish,0.53,0.53
17,Apex predatory fish,0.01,0.01
18,Seabirds,0.00,0
19,Marine mammals,0.00,0
20,Sea turtles,0.00,0
21,Fish eggs,0.00,0
22,Detritus offal,0.00,0
23,Pelagic detritus,0.00,0
24,Benthic detritus,0.00,0
